Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
1.45,2.30,480,219192,480,3.43e-02,1.00e+00,4.23,00h00'01
1.55,2.40,480,192281,480,3.01e-02,1.00e+00,26.87,00h00'00
1.65,2.50,480,164797,480,2.58e-02,1.00e+00,28.99,00h00'00
1.75,2.60,480,129937,474,2.03e-02,9.88e-01,27.17,00h00'00
1.85,2.70,488,98522,453,1.52e-02,9.28e-01,26.81,00h00'00
1.95,2.80,528,57409,354,8.16e-03,6.70e-01,28.28,00h00'00
2.05,2.90,744,26130,201,2.64e-03,2.70e-01,28.08,00h00'00
2.15,3.00,2848,14452,127,3.81e-04,4.46e-02,39.97,00h00'00
2.25,3.10,32272,9703,101,2.26e-05,3.13e-03,64.55,00h00'06
2.35,3.20,560992,6264,100,8.38e-07,1.78e-04,85.26,00h01'27
2.45,3.30,2280288,863,101,2.84e-08,4.43e-05,99.15,00h05'06
2.55,3.40,3192856,370,100,8.70e-09,3.13e-05,109.94,00h06'26
2.65,3.50,6223544,344,100,4.15e-09,1.61e-05,118.22,00h11'41
2.75,3.60,572864,25,6,3.28e-09,1.05e-05,125.91,00h01'00
