Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
-3.01,0.00,103,439042,103,1.32e-01,1.00e+00,0.086,00h00'38
-2.91,0.10,106,431133,106,1.26e-01,1.00e+00,0.208,00h00'16
-2.81,0.20,103,399359,103,1.20e-01,1.00e+00,0.205,00h00'16
-2.71,0.30,103,376361,103,1.13e-01,1.00e+00,0.210,00h00'15
-2.61,0.40,103,353000,103,1.06e-01,1.00e+00,0.206,00h00'16
-2.51,0.50,103,325929,103,9.77e-02,1.00e+00,0.211,00h00'15
-2.41,0.60,103,288297,103,8.64e-02,1.00e+00,0.212,00h00'15
-2.31,0.70,103,228600,103,6.85e-02,1.00e+00,0.211,00h00'15
-2.21,0.80,103,116819,103,3.50e-02,1.00e+00,0.211,00h00'15
-2.11,0.90,107,22509,105,6.49e-03,9.81e-01,0.212,00h00'16
-2.01,1.00,180,1785,102,3.06e-04,5.67e-01,0.213,00h00'27
-1.91,1.10,3936,191,100,1.50e-06,2.54e-02,0.234,00h09'05
-1.81,1.20,201856,69,55,1.06e-08,2.72e-04,0.264,06h53'35x
