Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
-3.01,0.00,110,143184,110,1.30e-01,1.00e+00,0.215,00h00'05
-2.76,0.25,111,131410,111,1.18e-01,1.00e+00,0.110,00h00'10
-2.51,0.50,111,115521,111,1.04e-01,1.00e+00,0.170,00h00'06
-2.26,0.75,111,98609,111,8.88e-02,1.00e+00,0.197,00h00'05
-2.01,1.00,116,74903,112,6.46e-02,9.66e-01,0.110,00h00'10
-1.89,1.12,163,57843,109,3.55e-02,6.69e-01,0.195,00h00'08
-1.76,1.25,795,43298,106,5.45e-03,1.33e-01,0.352,00h00'22
-1.64,1.38,15723,30261,100,1.92e-04,6.36e-03,0.453,00h05'46
-1.51,1.50,10188,0,0,9.82e-09,9.82e-05,0.602,00h02'49x

