Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
-0.71,1.00,512,8593,508,8.88e-02,9.92e-01,0.208,00h00'00
-0.46,1.25,531,8187,514,8.16e-02,9.68e-01,0.284,00h00'00
-0.21,1.50,544,7433,511,7.23e-02,9.39e-01,0.288,00h00'00
0.04,1.75,583,6687,509,6.07e-02,8.73e-01,0.305,00h00'00
0.29,2.00,667,6371,506,5.05e-02,7.59e-01,0.334,00h00'00
0.54,2.25,837,5938,513,3.75e-02,6.13e-01,0.396,00h00'00
0.79,2.50,1195,5774,513,2.56e-02,4.29e-01,0.514,00h00'00
1.04,2.75,1914,5467,510,1.51e-02,2.66e-01,0.713,00h00'00
1.29,3.00,3244,5206,505,8.49e-03,1.56e-01,1.005,00h00'00
1.54,3.25,6448,5051,505,4.14e-03,7.83e-02,1.503,00h00'00
1.79,3.50,14703,4893,502,1.76e-03,3.41e-02,2.208,00h00'01
2.04,3.75,36652,4590,500,6.63e-04,1.36e-02,3.123,00h00'02
2.29,4.00,94359,4075,500,2.28e-04,5.30e-03,3.386,00h00'05
2.54,4.25,225571,3318,500,7.78e-05,2.22e-03,4.127,00h00'10
2.79,4.50,475030,2461,500,2.74e-05,1.05e-03,4.910,00h00'18
3.04,4.75,869631,1551,500,9.44e-06,5.75e-04,5.461,00h00'30
3.29,5.00,1300049,1102,500,4.48e-06,3.85e-04,6.252,00h00'39
3.54,5.25,1887189,826,500,2.32e-06,2.65e-04,6.969,00h00'51
3.79,5.50,2446742,783,500,1.69e-06,2.04e-04,7.652,00h01'00
4.04,5.75,3388762,706,500,1.10e-06,1.48e-04,8.212,00h01'17
4.29,6.00,4816747,635,500,6.98e-07,1.04e-04,8.692,00h01'44
