Es/N0,Eb/N0,FRA,BE,FE,BER,FER,SIM_THR,ET/RT
-3.01,0.00,112,13132,112,1.21e-01,1.00e+00,0.219,00h00'00
-2.76,0.25,112,12137,112,1.11e-01,1.00e+00,0.291,00h00'00
-2.51,0.50,112,10917,112,1.00e-01,1.00e+00,0.291,00h00'00
-2.26,0.75,112,9501,112,8.73e-02,1.00e+00,0.291,00h00'00
-2.01,1.00,114,7883,112,7.11e-02,9.82e-01,0.288,00h00'00
-1.76,1.25,135,6648,108,5.07e-02,8.00e-01,0.319,00h00'00
-1.51,1.50,229,5395,107,2.42e-02,4.67e-01,0.408,00h00'00
-1.26,1.75,529,4464,104,8.68e-03,1.97e-01,0.573,00h00'00
-1.01,2.00,2284,4043,101,1.82e-03,4.42e-02,0.868,00h00'02
-0.76,2.25,14330,3514,100,2.52e-04,6.98e-03,1.207,00h00'11
-0.51,2.50,130078,3094,100,2.45e-05,7.69e-04,1.262,00h01'40
